vf,participantId,rbase,approach,jnd_50_r,jnd_50,jnd_r
ellipse_area,ie1h59cy,0.3,below,0.157719665,2349.20638,0.226666667
ellipse_minor,ie1h59cy,0.6,above,0.105889644,27.43259881,0.118333333
ellipse_minor,ie1h59cy,0.6,below,0.144082611,31.60676835,0.158333333
ellipse_minor,ie1h59cy,0.3,above,0.17930374,34.74756693,0.175
ellipse_minor,ie1h59cy,0.3,below,0.157719665,26.68553758,0.226666667
conf_bounding_box_perp,ie1h5v37,0.6,above,0.099765564,19.29709274,0.128333333
conf_bounding_box_perp,ie1h5v37,0.6,below,0.137396083,19.20897988,0.125
conf_bounding_box_perp,ie1h5v37,0.3,above,0.152256529,22.65768863,0.151666667
conf_bounding_box_perp,ie1h5v37,0.3,below,0.220452334,24.66709953,0.259166667
dist_line_sd,ie1h5v37,0.6,above,0.099765564,2.926600676,0.128333333
dist_line_sd,ie1h5v37,0.6,below,0.137396083,3.660343295,0.125
dist_line_sd,ie1h5v37,0.3,above,0.152256529,3.540388115,0.151666667
dist_line_sd,ie1h5v37,0.3,below,0.220452334,4.241797085,0.259166667
ellipse_area,ie1h5v37,0.6,above,0.099765564,6213.859769,0.128333333
ellipse_area,ie1h5v37,0.6,below,0.137396083,6141.663474,0.125
ellipse_area,ie1h5v37,0.3,above,0.152256529,4449.275142,0.151666667
ellipse_area,ie1h5v37,0.3,below,0.220452334,2938.972429,0.259166667
ellipse_minor,ie1h5v37,0.6,above,0.099765564,25.72022003,0.128333333
ellipse_minor,ie1h5v37,0.6,below,0.137396083,30.25899731,0.125
ellipse_minor,ie1h5v37,0.3,above,0.152256529,29.14043864,0.151666667
ellipse_minor,ie1h5v37,0.3,below,0.220452334,36.83776128,0.259166667
conf_bounding_box_perp,ie1h7bym,0.3,above,0.234755662,35.19217414,0.27
conf_bounding_box_perp,ie1h7bym,0.3,below,0.14183907,16.48678343,0.158333333
conf_bounding_box_perp,ie1h7bym,0.6,above,0.097254171,18.90667681,0.076666667
conf_bounding_box_perp,ie1h7bym,0.6,below,0.14194994,24.05799938,0.156666667
dist_line_sd,ie1h7bym,0.3,above,0.234755662,5.370331514,0.27
dist_line_sd,ie1h7bym,0.3,below,0.14183907,2.847875943,0.158333333
dist_line_sd,ie1h7bym,0.6,above,0.097254171,3.078083997,0.076666667
dist_line_sd,ie1h7bym,0.6,below,0.14194994,3.629250279,0.156666667
ellipse_area,ie1h7bym,0.3,above,0.234755662,7948.582508,0.27
ellipse_area,ie1h7bym,0.3,below,0.14183907,2220.522039,0.158333333
ellipse_area,ie1h7bym,0.6,above,0.097254171,6052.122905,0.076666667
ellipse_area,ie1h7bym,0.6,below,0.14194994,6223.136844,0.156666667
ellipse_minor,ie1h7bym,0.3,above,0.234755662,46.93343877,0.27
ellipse_minor,ie1h7bym,0.3,below,0.14183907,24.14207973,0.158333333
ellipse_minor,ie1h7bym,0.6,above,0.097254171,25.06349145,0.076666667
ellipse_minor,ie1h7bym,0.6,below,0.14194994,31.03268804,0.156666667
conf_bounding_box_perp,ie1h8h3y,0.6,above,0.059254828,11.67800065,0.076666667
conf_bounding_box_perp,ie1h8h3y,0.6,below,0.076851619,12.22399846,0.088333333
conf_bounding_box_perp,ie1h8h3y,0.3,above,0.067416103,9.683375304,0.05125
conf_bounding_box_perp,ie1h8h3y,0.3,below,0.119423095,17.31268476,0.176666667
dist_line_sd,ie1h8h3y,0.6,above,0.059254828,2.208435102,0.076666667
dist_line_sd,ie1h8h3y,0.6,below,0.076851619,1.975718359,0.088333333
dist_line_sd,ie1h8h3y,0.3,above,0.067416103,1.791551704,0.05125
dist_line_sd,ie1h8h3y,0.3,below,0.119423095,3.233026241,0.176666667
ellipse_area,ie1h8h3y,0.6,above,0.059254828,3463.429235,0.076666667
ellipse_area,ie1h8h3y,0.6,below,0.076851619,3688.892451,0.088333333
ellipse_area,ie1h8h3y,0.3,above,0.067416103,1738.72218,0.05125
ellipse_area,ie1h8h3y,0.3,below,0.119423095,1943.316153,0.176666667
ellipse_minor,ie1h8h3y,0.6,above,0.059254828,14.75966612,0.076666667
ellipse_minor,ie1h8h3y,0.6,below,0.076851619,17.43065873,0.088333333
ellipse_minor,ie1h8h3y,0.3,above,0.067416103,12.50682515,0.05125
ellipse_minor,ie1h8h3y,0.3,below,0.119423095,20.43035359,0.176666667
conf_bounding_box_perp,ie1h8sde,0.6,above,0.074895124,14.58347696,0.091666667
conf_bounding_box_perp,ie1h8sde,0.6,below,0.079548457,11.41678415,0.085
conf_bounding_box_perp,ie1h8sde,0.3,above,0.055023712,11.40134477,0.053333333
conf_bounding_box_perp,ie1h8sde,0.3,below,0.112733055,12.63269402,0.091666667
dist_line_sd,ie1h8sde,0.6,above,0.074895124,2.236935224,0.091666667
dist_line_sd,ie1h8sde,0.6,below,0.079548457,1.92468813,0.085
dist_line_sd,ie1h8sde,0.3,above,0.055023712,1.726757165,0.053333333
dist_line_sd,ie1h8sde,0.3,below,0.112733055,2.886434633,0.091666667
ellipse_area,ie1h8sde,0.6,above,0.074895124,4461.349432,0.091666667
ellipse_area,ie1h8sde,0.6,below,0.079548457,3805.677192,0.085
ellipse_area,ie1h8sde,0.3,above,0.055023712,1404.26063,0.053333333
ellipse_area,ie1h8sde,0.3,below,0.112733055,1985.428552,0.091666667
ellipse_minor,ie1h8sde,0.6,above,0.074895124,18.84312088,0.091666667
ellipse_minor,ie1h8sde,0.6,below,0.079548457,18.01688337,0.085
ellipse_minor,ie1h8sde,0.3,above,0.055023712,10.18324648,0.053333333
ellipse_minor,ie1h8sde,0.3,below,0.112733055,19.49024372,0.091666667
conf_bounding_box_perp,ie1h957j,0.6,above,0.038917927,6.920454164,0.035833333
conf_bounding_box_perp,ie1h957j,0.6,below,0.13079737,20.74857806,0.165
conf_bounding_box_perp,ie1h957j,0.3,above,0.154438032,23.15463458,0.22
conf_bounding_box_perp,ie1h957j,0.3,below,0.245178239,29.66429284,0.292916667
dist_line_sd,ie1h957j,0.6,above,0.038917927,1.489894809,0.035833333
dist_line_sd,ie1h957j,0.6,below,0.13079737,3.598088045,0.165
dist_line_sd,ie1h957j,0.3,above,0.154438032,3.596979714,0.22
dist_line_sd,ie1h957j,0.3,below,0.245178239,4.634956059,0.292916667
ellipse_area,ie1h957j,0.6,above,0.038917927,2215.687574,0.035833333
ellipse_area,ie1h957j,0.6,below,0.13079737,5838.049269,0.165
ellipse_area,ie1h957j,0.3,above,0.154438032,4759.93178,0.22
ellipse_area,ie1h957j,0.3,below,0.245178239,2970.175777,0.292916667
ellipse_minor,ie1h957j,0.6,above,0.038917927,9.563046005,0.035833333
ellipse_minor,ie1h957j,0.6,below,0.13079737,28.79312673,0.165
ellipse_minor,ie1h957j,0.3,above,0.154438032,30.01544639,0.22
ellipse_minor,ie1h957j,0.3,below,0.245178239,40.58933555,0.292916667
conf_bounding_box_perp,ie1ha1ax,0.6,above,0.105557649,22.55145294,0.083333333
conf_bounding_box_perp,ie1ha1ax,0.6,below,0.140637125,22.46119826,0.165
conf_bounding_box_perp,ie1ha1ax,0.3,above,0.197036903,27.48779897,0.258333333
conf_bounding_box_perp,ie1ha1ax,0.3,below,0.162651664,20.33043345,0.25625
dist_line_sd,ie1ha1ax,0.6,above,0.105557649,2.81976916,0.083333333
dist_line_sd,ie1ha1ax,0.6,below,0.140637125,3.507832063,0.165
dist_line_sd,ie1ha1ax,0.3,above,0.197036903,4.502719362,0.258333333
dist_line_sd,ie1ha1ax,0.3,below,0.162651664,3.017028422,0.25625
ellipse_area,ie1ha1ax,0.6,above,0.105557649,6681.125516,0.083333333
ellipse_area,ie1ha1ax,0.6,below,0.140637125,6188.256459,0.165
ellipse_area,ie1ha1ax,0.3,above,0.197036903,6404.880929,0.258333333
ellipse_area,ie1ha1ax,0.3,below,0.162651664,2266.6666,0.25625
ellipse_minor,ie1ha1ax,0.6,above,0.105557649,27.46408654,0.083333333
ellipse_minor,ie1ha1ax,0.6,below,0.140637125,30.78716794,0.165
ellipse_minor,ie1ha1ax,0.3,above,0.197036903,38.90098413,0.258333333
ellipse_minor,ie1ha1ax,0.3,below,0.162651664,27.31483898,0.25625
conf_bounding_box_perp,ie1hb9p5,0.3,above,0.124888366,16.0857431,0.108333333
conf_bounding_box_perp,ie1hb9p5,0.3,below,0.084734627,11.00400085,0.108333333
conf_bounding_box_perp,ie1hb9p5,0.6,above,0.054782389,10.35060357,0.05
conf_bounding_box_perp,ie1hb9p5,0.6,below,0.135675472,21.77642061,0.14
dist_line_sd,ie1hb9p5,0.3,above,0.124888366,2.935386469,0.108333333
dist_line_sd,ie1hb9p5,0.3,below,0.084734627,2.021065029,0.108333333
dist_line_sd,ie1hb9p5,0.6,above,0.054782389,2.373103705,0.05
dist_line_sd,ie1hb9p5,0.6,below,0.135675472,3.407105847,0.14
ellipse_area,ie1hb9p5,0.3,above,0.124888366,3540.23552,0.108333333
ellipse_area,ie1hb9p5,0.3,below,0.084734627,1580.550957,0.108333333
ellipse_area,ie1hb9p5,0.6,above,0.054782389,3210.374013,0.05
ellipse_area,ie1hb9p5,0.6,below,0.135675472,6036.494099,0.14
ellipse_minor,ie1hb9p5,0.3,above,0.124888366,23.71441347,0.108333333
ellipse_minor,ie1hb9p5,0.3,below,0.084734627,14.77627098,0.108333333
ellipse_minor,ie1hb9p5,0.6,above,0.054782389,13.66478958,0.05
ellipse_minor,ie1hb9p5,0.6,below,0.135675472,29.82813823,0.14
conf_bounding_box_perp,ie1hdygi,0.3,above,0.060370028,10.36077121,0.075
conf_bounding_box_perp,ie1hdygi,0.3,below,0.061678893,10.60518308,0.051666667
conf_bounding_box_perp,ie1hdygi,0.6,above,0.057096318,9.218513705,0.066666667
conf_bounding_box_perp,ie1hdygi,0.6,below,0.036143108,8.80252192,0.040416667
dist_line_sd,ie1hdygi,0.3,above,0.060370028,1.620502319,0.075
dist_line_sd,ie1hdygi,0.3,below,0.061678893,1.719949,0.051666667
dist_line_sd,ie1hdygi,0.6,above,0.057096318,1.743741009,0.066666667
dist_line_sd,ie1hdygi,0.6,below,0.036143108,1.587529858,0.040416667
ellipse_area,ie1hdygi,0.3,above,0.060370028,1519.060066,0.075
ellipse_area,ie1hdygi,0.3,below,0.061678893,1204.164968,0.051666667
ellipse_area,ie1hdygi,0.6,above,0.057096318,3330.528665,0.066666667
ellipse_area,ie1hdygi,0.6,below,0.036143108,1825.947003,0.040416667
ellipse_minor,ie1hdygi,0.3,above,0.060370028,11.13620422,0.075
ellipse_minor,ie1hdygi,0.3,below,0.061678893,10.83401189,0.051666667
ellipse_minor,ie1hdygi,0.6,above,0.057096318,14.20709619,0.066666667
ellipse_minor,ie1hdygi,0.6,below,0.036143108,8.384575348,0.040416667
conf_bounding_box_perp,ie1hedak,0.3,above,0.076828929,11.95294395,0.066666667
conf_bounding_box_perp,ie1hedak,0.3,below,0.059838982,10.57622132,0.05
conf_bounding_box_perp,ie1hedak,0.6,above,0.066683852,14.05525191,0.075
conf_bounding_box_perp,ie1hedak,0.6,below,0.055862832,8.268232235,0.065
dist_line_sd,ie1hedak,0.3,above,0.076828929,1.670323512,0.066666667
