participantId,rbase,approach,jnd_50_r,jnd_r
ie1mklu9,0.7,above,0.044493511,0.061666667
ie1mklu9,0.7,below,0.055904724,0.068333333
ie1mr161,0.4,above,0.14072253,0.13
ie1mr161,0.4,below,0.079152337,0.09
ie1mr161,0.7,above,0.070795376,0.07
ie1mr161,0.7,below,0.134907556,0.126666667
ie1mtwoe,0.7,above,0.054606112,0.045
ie1mtwoe,0.7,below,0.221375101,0.336666667
ie1mtwoe,0.4,above,0.296107324,0.403333333
ie1mtwoe,0.4,below,0.242977656,0.271666667
ie1myfpc,0.4,above,0.066954313,0.078333333
ie1myfpc,0.4,below,0.059491808,0.063333333
ie1myfpc,0.7,above,0.039740995,0.038333333
ie1myfpc,0.7,below,0.035584639,0.034583333
ie1n566j,0.7,above,0.046480892,0.048333333
ie1n566j,0.7,below,0.061330279,0.068333333
ie1n566j,0.4,above,0.063408509,0.09
ie1n566j,0.4,below,0.094615023,0.08
ie1n7t58,0.7,above,0.102421775,0.111666667
ie1n7t58,0.7,below,0.199304293,0.251666667
ie1n7t58,0.4,above,0.204158673,0.248333333
ie1n7t58,0.4,below,0.186783394,0.21
ie1n9egu,0.7,above,0.069667265,0.085
ie1n9egu,0.7,below,0.056711654,0.071666667
ie1n9egu,0.4,above,0.075898246,0.07625
ie1n9egu,0.4,below,0.146069453,0.14
ie1n9v8g,0.4,above,0.094803547,0.116666667
ie1n9v8g,0.4,below,0.124637912,0.111666667
ie1n9v8g,0.7,above,0.083833714,0.085
ie1n9v8g,0.7,below,0.084480953,0.103333333
ie1nacjo,0.4,above,0.085035177,0.09
ie1nacjo,0.4,below,0.128839204,0.12
ie1nacjo,0.7,above,0.064660489,0.06
ie1nacjo,0.7,below,0.053266321,0.043333333
ie1nfm4n,0.7,above,0.146900798,0.213333333
ie1nfm4n,0.7,below,0.08320555,0.088333333
ie1nfm4n,0.4,above,0.113309058,0.138333333
ie1nfm4n,0.4,below,0.203494333,0.236666667
ie1nt3av,0.7,above,0.059804269,0.04
ie1nt3av,0.7,below,0.065770192,0.05
ie1nt3av,0.4,above,0.094080342,0.118333333
ie1nt3av,0.4,below,0.074541927,0.096666667
ie1ny5qg,0.7,above,0.047813663,0.038333333
ie1ny5qg,0.7,below,0.057030057,0.051666667
ie1ny5qg,0.4,above,0.097686512,0.093333333
ie1ny5qg,0.4,below,0.095017996,0.105
ie1obtk8,0.4,above,0.08201702,0.07
ie1obtk8,0.4,below,0.10017044,0.125
ie1obtk8,0.7,above,0.032342649,0.0275
ie1obtk8,0.7,below,0.049604059,0.046666667
ie1osi97,0.5,above,0.055268197,0.063333333
ie1osi97,0.5,below,0.062795996,0.078333333
ie1osi97,0.8,above,0.028428637,0.043333333
ie1osi97,0.8,below,0.040529355,0.050416667
ie1ot4wz,0.8,above,0.024112589,0.029583333
ie1ot4wz,0.8,below,0.035459537,0.046666667
ie1ot4wz,0.5,above,0.057486341,0.061666667
ie1ot4wz,0.5,below,0.057425712,0.075
ie1otnz7,0.5,above,0.098111827,0.083333333
ie1otnz7,0.5,below,0.081352123,0.075
ie1otnz7,0.8,above,0.03164182,0.045416667
ie1otnz7,0.8,below,0.039889767,0.037083333
ie1otsb4,0.5,above,0.044555924,0.051666667
ie1otsb4,0.5,below,0.066512149,0.075
ie1otsb4,0.8,above,0.029569227,0.032083333
ie1otsb4,0.8,below,0.04384367,0.066666667
ie1otuyu,0.5,above,0.080219745,0.101666667
ie1otuyu,0.5,below,0.103443218,0.108333333
ie1otuyu,0.8,above,0.028241818,0.045
ie1otuyu,0.8,below,0.027330384,0.04
ie1otv9o,0.5,above,0.108145918,0.106666667
ie1otv9o,0.5,below,0.297999315,0.4575
ie1otv9o,0.8,above,0.058441734,0.033333333
ie1otv9o,0.8,below,0.042816295,0.061666667
ie1ou6ft,0.8,above,0.030665736,0.036666667
ie1ou6ft,0.8,below,0.036194165,0.046666667
ie1ou6ft,0.5,above,0.057104117,0.046666667
ie1ou6ft,0.5,below,0.086565323,0.081666667
ie1ouixl,0.8,above,0.026103142,0.04375
ie1ouixl,0.8,below,0.032074862,0.03625
ie1ouixl,0.5,above,0.082751603,0.095
ie1ouixl,0.5,below,0.089752865,0.098333333
ie1ovkmj,0.5,above,0.067331931,0.058333333
ie1ovkmj,0.5,below,0.076765344,0.093333333
ie1ovkmj,0.8,above,0.034209386,0.04
ie1ovkmj,0.8,below,0.026263054,0.034166667
ie1ovs9g,0.5,above,0.042160856,0.055
ie1ovs9g,0.5,below,0.096350054,0.111666667
ie1ovs9g,0.8,above,0.052250542,0.042916667
ie1ovs9g,0.8,below,0.057295413,0.07
ie1ovu66,0.5,above,0.128997915,0.126666667
ie1ovu66,0.5,below,0.22243252,0.303333333
ie1ovu66,0.8,above,0.071221338,0.086666667
ie1ovu66,0.8,below,0.095473284,0.061666667
ie1oxh4t,0.8,above,0.030266645,0.036666667
ie1oxh4t,0.8,below,0.037474111,0.02
ie1oxh4t,0.5,above,0.058146024,0.03875
ie1oxh4t,0.5,below,0.12072757,0.118333333
ie1ozcma,0.5,above,0.059193954,0.06
ie1ozcma,0.5,below,0.046026716,0.055
ie1ozcma,0.8,above,0.0358178,0.056666667
ie1ozcma,0.8,below,0.050769161,0.05
ie1ozii7,0.5,above,0.062178867,0.075
ie1ozii7,0.5,below,0.062995092,0.04375
ie1ozii7,0.8,above,0.046482315,0.051666667
ie1ozii7,0.8,below,0.029067718,0.040833333
ie1p0pxi,0.5,above,0.071220162,0.073333333
ie1p0pxi,0.5,below,0.130881673,0.123333333
ie1p0pxi,0.8,above,0.034765276,0.035
ie1p0pxi,0.8,below,0.052609668,0.058333333
ie1p1nnp,0.8,above,0.034130867,0.045833333
ie1p1nnp,0.8,below,0.034990728,0.03
ie1p1nnp,0.5,above,0.116530298,0.135
ie1p1nnp,0.5,below,0.124253722,0.096666667
ie1p5vx8,0.8,above,0.064045668,0.055
ie1p5vx8,0.8,below,0.092366821,0.063333333
ie1p5vx8,0.5,above,0.10915248,0.105
ie1p5vx8,0.5,below,0.087025217,0.058333333
ie1p7d3a,0.5,above,0.048085444,0.056666667
ie1p7d3a,0.5,below,0.081707835,0.091666667
ie1p7d3a,0.8,above,0.042064199,0.03875
ie1p7d3a,0.8,below,0.063498219,0.056666667
ie1p7tla,0.8,above,0.04505468,0.04125
ie1p7tla,0.8,below,0.047220918,0.075
ie1p7tla,0.5,above,0.098644616,0.098333333
ie1p7tla,0.5,below,0.078331862,0.093333333
ie1p9zhb,0.8,above,0.049400627,0.049583333
ie1p9zhb,0.8,below,0.067187018,0.071666667
ie1p9zhb,0.5,above,0.066188016,0.073333333
ie1p9zhb,0.5,below,0.131624046,0.161666667
ie1pcwcu,0.8,above,0.020856124,0.024166667
ie1pcwcu,0.8,below,0.042739461,0.046666667
ie1pcwcu,0.5,above,0.080638968,0.06
ie1pcwcu,0.5,below,0.143269117,0.121666667
ie1pf40v,0.5,above,0.132999971,0.175
ie1pf40v,0.5,below,0.423624065,0.468333333
ie1pf40v,0.8,above,0.081691528,0.086666667
ie1pf40v,0.8,below,0.079791671,0.073333333
ie1pk39j,0.5,above,0.067379216,0.071666667
ie1pk39j,0.5,below,0.117067694,0.131666667
ie1pk39j,0.8,above,0.027172253,0.038333333
ie1pk39j,0.8,below,0.032459088,0.04
ie1pmt84,0.5,above,0.067863397,0.061666667
ie1pmt84,0.5,below,0.089051709,0.091666667
ie1pmt84,0.8,above,0.046142142,0.05
ie1pmt84,0.8,below,0.044934508,0.05375
ie1prod6,0.8,above,0.024990715,0.03
ie1prod6,0.8,below,0.063515717,0.073333333
ie1prod6,0.5,above,0.121343329,0.101666667
ie1prod6,0.5,below,0.150114085,0.153333333
ie1q08rg,0.5,above,0.092501005,0.08
ie1q08rg,0.5,below,0.11656685,0.113333333
ie1q08rg,0.8,above,0.05532523,0.044583333
ie1q08rg,0.8,below,0.058779259,0.07
ie1qdybv,0.8,above,0.047176389,0.07
ie1qdybv,0.8,below,0.031043151,0.025416667
ie1qdybv,0.5,above,0.077212516,0.073333333
ie1qdybv,0.5,below,0.191570471,0.223333333
ie1qhykq,0.5,above,0.064976088,0.071666667
ie1qhykq,0.5,below,0.080563673,0.093333333
ie1qhykq,0.8,above,0.035459537,0.041666667
ie1qhykq,0.8,below,0.033650994,0.030416667
ie1qkr0a,0.5,above,0.080457738,0.083333333
